iso_o,iso_d,comlang_off,distcap
ARE,ARE,0,108.789
ARE,AUS,0,11962.66
ARE,BEL,0,5159.97
ARE,BGD,0,3643.561
ARE,BRA,0,11957.41
ARE,CAN,0,10763.11
ARE,CHN,0,5966.427
ARE,DEU,0,4641.608
ARE,EGY,1,2370.061
ARE,ESP,0,5634.667
ARE,FRA,0,5249.535
ARE,GBR,0,5483.745
ARE,HKG,0,6059.646
ARE,IND,0,2312.871
ARE,ITA,0,4303.976
ARE,JPN,0,8062.889
ARE,KOR,0,6909.236
ARE,LKA,0,3342.212
ARE,MEX,0,14372.35
ARE,MYS,0,5594.997
ARE,NGA,0,5282.773
ARE,NLD,0,5170.816
ARE,PAK,0,2083.979
ARE,RUS,0,3739.195
ARE,SAU,1,774.5853
ARE,SGP,0,5904.872
ARE,TUR,0,2649.283
ARE,USA,0,11359.12
ARE,VNM,0,5265.521
ARE,ZAF,0,6257.806
AUS,ARE,0,11962.66
AUS,AUS,0,1042.817
AUS,BEL,0,16734.73
AUS,BGD,0,9022.997
AUS,BRA,0,14070.8
AUS,CAN,1,16123
AUS,CHN,0,9018.307
AUS,DEU,0,16082.09
AUS,EGY,0,14279.4
AUS,ESP,0,17591.48
AUS,FRA,0,16938.09
AUS,GBR,1,17001.95
AUS,HKG,1,7393.697
AUS,IND,1,10363.85
AUS,ITA,0,16232.27
AUS,JPN,0,7958.28
AUS,KOR,0,8418.786
AUS,LKA,0,8620.451
AUS,MEX,0,13185.67
AUS,MYS,0,6532.159
AUS,NGA,1,15205.16
AUS,NLD,0,16644.24
AUS,PAK,1,11015.89
AUS,RUS,0,14491.46
AUS,SAU,0,12640.23
AUS,SGP,1,6217.666
AUS,TUR,0,14512.6
AUS,USA,1,15961.95
AUS,VNM,0,7753.618
AUS,ZAF,1,10827.98
BEL,ARE,0,5159.97
BEL,AUS,0,16734.73
BEL,BEL,0,68.44467
BEL,BGD,0,7724.392
BEL,BRA,0,8984.677
BEL,CAN,1,5680.899
BEL,CHN,0,7970.82
BEL,DEU,1,653.1423
BEL,EGY,0,3212.434
BEL,ESP,0,1316.64
BEL,FRA,1,262.3845
BEL,GBR,0,323.7796
BEL,HKG,0,9405.117
BEL,IND,0,6419.599
BEL,ITA,0,1174.904
BEL,JPN,0,9463.263
BEL,KOR,0,8722.114
BEL,LKA,0,8404.442
BEL,MEX,0,9259.353
