Country Code,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016
AUS,848733000000,865140000000,899772000000,926637000000,963712000000,994458000000,1022640000000,1061270000000,1100090000000,1121240000000,1144260000000,1172310000000,1217930000000,1250080000000,1282060000000,1312200000000,1349300000000
BGD,67013463193,70415929567,73115059421,76580396942,80592852042,85860356478,91588877879,98053769823,103951000000,109195000000,115279000000,122731000000,130735000000,138597000000,146997000000,156630000000,167771000000
BEL,411797000000,415139000000,422530000000,425803000000,441280000000,450521000000,461812000000,477740000000,481481000000,470633000000,483548000000,492244000000,493399000000,494389000000,500592000000,509186000000,516766000000
BRA,1538710000000,1560090000000,1607730000000,1626070000000,1719730000000,1774800000000,1845120000000,1957110000000,2056810000000,2054220000000,2208870000000,2296660000000,2340780000000,2411120000000,2423270000000,2337350000000,2260090000000
CAN,1342740000000,1366510000000,1407650000000,1433020000000,1477240000000,1524530000000,1564530000000,1596800000000,1612770000000,1565200000000,1613460000000,1664150000000,1693190000000,1735100000000,1784650000000,1802510000000,1828000000000
CHN,2237080000000,2423650000000,2644950000000,2910380000000,3204660000000,3569850000000,4023920000000,4596580000000,5040350000000,5514130000000,6100620000000,6682400000000,7207390000000,7766510000000,8333290000000,8908300000000,9505160000000
EGY,136353000000,141174000000,144548000000,149164000000,155268000000,162211000000,173312000000,185597000000,198878000000,208173000000,218888000000,222751000000,227710000000,232686000000,239471000000,249941000000,260805000000
FRA,2342740000000,2388520000000,2415240000000,2435030000000,2502880000000,2543120000000,2603520000000,2665000000000,2670210000000,2591670000000,2642610000000,2700550000000,2709010000000,2724620000000,2750680000000,2781290000000,2813860000000
DEU,3123910000000,3176870000000,3176870000000,3154320000000,3191220000000,3213780000000,3332690000000,3441360000000,3478600000000,3283140000000,3417090000000,3542160000000,3559590000000,3577010000000,3654920000000,3718480000000,3801860000000
HKG,153401000000,154261000000,156817000000,161610000000,175670000000,188649000000,201916000000,214969000000,219544000000,214145000000,228638000000,239646000000,243721000000,251280000000,258221000000,264387000000,270105000000
IND,873357000000,915488000000,950313000000,1025010000000,1106220000000,1193870000000,1290110000000,1388940000000,1431810000000,1544380000000,1675620000000,1763440000000,1859660000000,1978420000000,2125020000000,2294950000000,2482430000000
ITA,2060210000000,2096720000000,2101930000000,2105110000000,2138410000000,2158720000000,2202040000000,2234490000000,2211020000000,2089810000000,2125060000000,2137310000000,2077060000000,2041170000000,2043490000000,2062370000000,2085990000000
JPN,5348940000000,5370670000000,5377010000000,5459180000000,5579540000000,5672310000000,5752850000000,5848020000000,5784070000000,5470780000000,5700100000000,5693520000000,5778640000000,5894230000000,5916320000000,5996410000000,6052670000000
KOR,710035000000,742166000000,797327000000,820715000000,860928000000,894708000000,941020000000,992432000000,1020510000000,1027730000000,1094500000000,1134800000000,1160810000000,1194430000000,1234340000000,1268780000000,1305950000000
MYS,162523000000,163364000000,172171000000,182138000000,194493000000,204863000000,216305000000,229929000000,241039000000,237391000000,255017000000,268517000000,283214000000,296507000000,314318000000,330321000000,344272000000
MEX,915216000000,911515000000,911152000000,924331000000,960570000000,982738000000,1026910000000,1050440000000,1062460000000,1006300000000,1057800000000,1096550000000,1136490000000,1151880000000,1184180000000,1223120000000,1258560000000
NLD,734694000000,750301000000,751079000000,753211000000,768507000000,785109000000,812735000000,842793000000,857113000000,824820000000,846555000000,859687000000,850829000000,849721000000,861816000000,878701000000,897959000000
NGA,169200000000,179213000000,206685000000,221870000000,242394000000,258001000000,273634000000,291670000000,311400000000,336427000000,363360000000,382647000000,398833000000,425440000000,452285000000,464282000000,456775000000
PAK,117555000000,119886000000,123751000000,129749000000,139309000000,149991000000,159256000000,166953000000,169794000000,174602000000,177407000000,182283000000,188675000000,196970000000,206178000000,215933000000,227867000000
RUS,951559000000,1000010000000,1047450000000,1123870000000,1204520000000,1281320000000,1385790000000,1504070000000,1583000000000,1459200000000,1524920000000,1605510000000,1664200000000,1693920000000,1706430000000,1658160000000,1654440000000
SAU,379223000000,374632000000,364070000000,404999000000,437231000000,461602000000,474473000000,483237000000,513438000000,502865000000,528207000000,581011000000,612452000000,628984000000,651958000000,678730000000,690069000000
SGP,134491000000,133211000000,138821000000,144978000000,158822000000,170717000000,185843000000,202776000000,206401000000,205155000000,236422000000,251436000000,261703000000,275079000000,285763000000,292167000000,299170000000
ZAF,267001000000,274210000000,284357000000,292743000000,306076000000,322228000000,340285000000,358526000000,369967000000,364276000000,375349000000,387677000000,396257000000,406105000000,413606000000,418898000000,421266000000
