Country Code,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016
AUS,4.457435148,4.407135362,2.981574539,2.732595966,2.343255225,2.691831683,3.555287737,2.327611289,4.35029855,1.771117166,2.918340027,3.303850156,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945
BGD,2.208256209,2.007173742,3.332564933,5.668707734,7.587536385,7.046618162,6.765261171,9.106984969,8.901944895,5.423472362,8.126676392,11.39516516,6.217504221,7.530406409,6.991638892,6.19428023,5.513525727
BEL,2.544517762,2.469258231,1.645214362,1.588964,2.097283112,2.781432637,1.791207701,1.8230563,4.489444205,-0.053145674,2.189299204,3.532082107,2.839663434,1.11309594,0.340002833,0.561429153,1.973852647
BRA,7.044141059,6.840359025,8.450164377,14.71491972,6.5971851,6.869537209,4.183568129,3.641272991,5.678593903,4.888034799,5.038726901,6.636369353,5.403553391,6.204335948,6.329152227,9.029807186,8.7391283
CAN,2.719439957,2.52512014,2.258394409,2.758563214,1.857258719,2.213552034,2.002025395,2.138383993,2.370270674,0.299466803,1.776871541,2.912135089,1.515678231,0.938291898,1.906635907,1.125241361,1.428759547
CHN,0.347806257,0.719132437,-0.7319755,1.127601961,3.824637624,1.776416168,1.649433101,4.816765313,5.925255289,-0.728171334,3.175327981,5.553897059,2.619526165,2.621049027,1.921643416,1.437024514,2
EGY,2.683805353,2.269757205,2.73723855,4.507776363,11.27061933,4.869396969,7.644526445,9.318969058,18.31683168,11.76349544,11.26518827,10.0539169,7.11815562,9.42157654,10.1445712,10.36206974,13.80966828
FRA,1.675959887,1.634780795,1.923412287,2.098472191,2.142089646,1.745869364,1.675124496,1.48799806,2.812861949,0.087620478,1.531122704,2.111597952,1.954195316,0.863715498,0.507758823,0.037514381,0.183334861
DEU,1.440268187,1.983856936,1.420805605,1.034227766,1.665733409,1.546909652,1.577428259,2.298341797,2.628381749,0.31273763,1.103809161,2.075174525,2.008490922,1.50472098,0.906797949,0.51442054,0.491748625
HKG,-3.685503686,-1.658163265,-2.983138781,-2.673796791,-0.274725275,0.826446281,2.01411015,2.030117122,4.296490653,0.576519916,2.313705055,5.276561068,4.063860668,4.323570432,4.438502674,2.995391705,2.411135968
IND,4.00943591,3.779293122,4.297152039,3.805858995,3.767251735,4.24634362,5.796523376,6.372881356,8.349267049,10.88235294,11.98938992,8.858360966,9.312445605,10.90764331,6.353194544,5.872426595,4.941026458
ITA,2.537685321,2.785165427,2.465323192,2.672555528,2.206736614,1.985292985,2.09084391,1.829741122,3.347832584,0.774768131,1.525516021,2.780632729,3.041363332,1.219993423,0.24104743,0.0387904,-0.094016657
JPN,-0.676578684,-0.740055504,-0.923494027,-0.256541816,-0.008573388,-0.282946069,0.249355116,0.060039454,1.380078862,-1.35283673,-0.719979429,-0.267633601,-0.051939058,0.346440326,2.761954083,0.78951789,-0.116666667
KOR,2.259184779,4.066419648,2.762511352,3.514879242,3.590591391,2.754090201,2.241847104,2.534846871,4.673795957,2.756686477,2.939181359,4.02584625,2.187221208,1.301377058,1.274714702,0.70620817,0.971674764
MYS,1.534740237,1.416784732,1.807872463,1.089676326,1.421271159,2.975070927,3.609235642,2.027353178,5.440782211,0.583308406,1.622852356,3.174470922,1.663571025,2.105012312,3.142990509,2.104389802,2.090566595
MEX,9.491561494,6.367738062,5.030727332,4.546900121,4.688408848,3.988057146,3.629467624,3.966849055,5.124982746,5.297355842,4.156727227,3.407378246,4.111509811,3.806390697,4.018616081,2.72064065,2.821707847
NLD,2.360522338,4.155841272,3.287531047,2.09199839,1.263647392,1.688130179,1.101501065,1.613858598,2.486501983,1.18977687,1.275305696,2.341070178,2.455547653,2.506898527,0.97603508,0.600248147,0.316666667
NGA,6.933292156,18.87364621,12.8765792,14.03178361,14.99803382,17.86349337,8.239526517,5.382223652,11.57798352,11.53767275,13.72020184,10.84002754,12.21778174,8.475827285,8.062485824,9.009387183,15.67534055
PAK,4.366664513,3.148261446,3.290344726,2.914134701,7.444624693,9.06332737,7.921084401,7.598684411,20.28612109,13.64776506,13.88113926,11.91676947,9.682351861,7.692156119,7.189384028,2.529328173,3.765119164
RUS,20.79876066,21.47700721,15.78873079,13.66329302,10.88861573,12.68530395,9.668654548,9.007298689,14.11076778,11.64732958,6.849392303,8.440464859,5.074743008,6.754668339,7.8201697,15.53439599,7.042437254
SAU,-1.124998385,-1.120948049,0.247186492,0.612195358,0.515507898,0.479231672,2.209023141,4.167823584,9.870248168,5.057222761,5.33941733,5.826216374,2.866270299,3.511042098,2.241853488,1.222693186,2.053470768
SGP,1.361623924,0.997197956,-0.391676867,0.5079053,1.662727199,0.425106277,0.96304741,2.104925808,6.627997246,0.596873455,2.823277186,5.247910208,4.575959852,2.358601146,1.024982528,-0.522752485,-0.532286132
ZAF,5.338951583,5.701904835,9.494706671,5.679418064,-0.692030138,2.062852225,3.243901675,6.17781207,10.05528203,7.264562145,4.063538973,5.017157733,5.723943662,5.776404135,6.136020151,4.509208278,6.594604415
