Country (i),Country (j),Year,X (ij) in 1000 USD,GDP (i),GDP (j),Dist (ij),Lang (ij),Area (i),Area (j),Inflation (i),Inflation (j)
AUS,BGD,2000,186596.31,848733000000,67013463193,9022.997,0,7686848,143998,4.457435148,2.208256209
AUS,BGD,2001,181173.84,865140000000,70415929567,9022.997,0,7686848,143998,4.407135362,2.007173742
AUS,BGD,2002,175363.96,899772000000,73115059421,9022.997,0,7686848,143998,2.981574539,3.332564933
AUS,BGD,2003,146266.39,926637000000,76580396942,9022.997,0,7686848,143998,2.732595966,5.668707734
AUS,BGD,2004,198077.13,963712000000,80592852042,9022.997,0,7686848,143998,2.343255225,7.587536385
AUS,BGD,2005,179349.09,994458000000,85860356478,9022.997,0,7686848,143998,2.691831683,7.046618162
AUS,BGD,2006,138666.20,1022640000000,91588877879,9022.997,0,7686848,143998,3.555287737,6.765261171
AUS,BGD,2007,165242.41,1061270000000,98053769823,9022.997,0,7686848,143998,2.327611289,9.106984969
AUS,BGD,2008,215368.06,1100090000000,103951000000,9022.997,0,7686848,143998,4.35029855,8.901944895
AUS,BGD,2009,321319.1,1121240000000,109195000000,9022.997,0,7686848,143998,1.771117166,5.423472362
AUS,BGD,2010,535489.97,1144260000000,115279000000,9022.997,0,7686848,143998,2.918340027,8.126676392
AUS,BGD,2011,598029.37,1172310000000,122731000000,9022.997,0,7686848,143998,3.303850156,11.39516516
AUS,BGD,2012,506985.65,1217930000000,130735000000,9022.997,0,7686848,143998,1.762780156,6.217504221
AUS,BGD,2013,546530.88,1250080000000,138597000000,9022.997,0,7686848,143998,2.449888641,7.530406409
AUS,BGD,2014,494882.9,1282060000000,146997000000,9022.997,0,7686848,143998,2.487922705,6.991638892
AUS,BGD,2015,520293.25,1312200000000,156630000000,9022.997,0,7686848,143998,1.508366722,6.19428023
AUS,BGD,2016,616109.8,1349300000000,167771000000,9022.997,0,7686848,143998,1.276990945,5.513525727
AUS,BEL,2000,585323.10,848733000000,411797000000,16734.73,0,7686848,33114,4.457435148,2.544517762
AUS,BEL,2001,467858.62,865140000000,415139000000,16734.73,0,7686848,33114,4.407135362,2.469258231
AUS,BEL,2002,515864.22,899772000000,422530000000,16734.73,0,7686848,33114,2.981574539,1.645214362
AUS,BEL,2003,451818.89,926637000000,425803000000,16734.73,0,7686848,33114,2.732595966,1.588964
AUS,BEL,2004,544434.87,963712000000,441280000000,16734.73,0,7686848,33114,2.343255225,2.097283112
AUS,BEL,2005,761227.99,994458000000,450521000000,16734.73,0,7686848,33114,2.691831683,2.781432637
AUS,BEL,2006,828494.97,1022640000000,461812000000,16734.73,0,7686848,33114,3.555287737,1.791207701
AUS,BEL,2007,1233016.88,1061270000000,477740000000,16734.73,0,7686848,33114,2.327611289,1.8230563
AUS,BEL,2008,1276103.69,1100090000000,481481000000,16734.73,0,7686848,33114,4.35029855,4.489444205
AUS,BEL,2009,653001.86,1121240000000,470633000000,16734.73,0,7686848,33114,1.771117166,-0.053145674
AUS,BEL,2010,1158188.98,1144260000000,483548000000,16734.73,0,7686848,33114,2.918340027,2.189299204
AUS,BEL,2011,1471193.56,1172310000000,492244000000,16734.73,0,7686848,33114,3.303850156,3.532082107
AUS,BEL,2012,1724420.1,1217930000000,493399000000,16734.73,0,7686848,33114,1.762780156,2.839663434
AUS,BEL,2013,1031543.91,1250080000000,494389000000,16734.73,0,7686848,33114,2.449888641,1.11309594
AUS,BEL,2014,947268.47,1282060000000,500592000000,16734.73,0,7686848,33114,2.487922705,0.340002833
AUS,BEL,2015,904710.37,1312200000000,509186000000,16734.73,0,7686848,33114,1.508366722,0.561429153
AUS,BEL,2016,709452.47,1349300000000,516766000000,16734.73,0,7686848,33114,1.276990945,1.973852647
AUS,BRA,2000,330264.55,848733000000,1538710000000,14070.8,0,7686848,8511920,4.457435148,7.044141059
AUS,BRA,2001,244917.85,865140000000,1560090000000,14070.8,0,7686848,8511920,4.407135362,6.840359025
AUS,BRA,2002,218260.56,899772000000,1607730000000,14070.8,0,7686848,8511920,2.981574539,8.450164377
AUS,BRA,2003,301490.18,926637000000,1626070000000,14070.8,0,7686848,8511920,2.732595966,14.71491972
AUS,BRA,2004,412225.82,963712000000,1719730000000,14070.8,0,7686848,8511920,2.343255225,6.5971851
AUS,BRA,2005,657185.25,994458000000,1774800000000,14070.8,0,7686848,8511920,2.691831683,6.869537209
AUS,BRA,2006,672161.26,1022640000000,1845120000000,14070.8,0,7686848,8511920,3.555287737,4.183568129
AUS,BRA,2007,729226.15,1061270000000,1957110000000,14070.8,0,7686848,8511920,2.327611289,3.641272991
AUS,BRA,2008,1331244.00,1100090000000,2056810000000,14070.8,0,7686848,8511920,4.35029855,5.678593903
AUS,BRA,2009,723462.71,1121240000000,2054220000000,14070.8,0,7686848,8511920,1.771117166,4.888034799
AUS,BRA,2010,1444623.21,1144260000000,2208870000000,14070.8,0,7686848,8511920,2.918340027,5.038726901
AUS,BRA,2011,1437269.66,1172310000000,2296660000000,14070.8,0,7686848,8511920,3.303850156,6.636369353
AUS,BRA,2012,1024866.97,1217930000000,2340780000000,14070.8,0,7686848,8511920,1.762780156,5.403553391
AUS,BRA,2013,689902.9,1250080000000,2411120000000,14070.8,0,7686848,8511920,2.449888641,6.204335948
AUS,BRA,2014,939393.6,1282060000000,2423270000000,14070.8,0,7686848,8511920,2.487922705,6.329152227
AUS,BRA,2015,857901.40,1312200000000,2337350000000,14070.8,0,7686848,8511920,1.508366722,9.029807186
AUS,BRA,2016,747987.7,1349300000000,2260090000000,14070.8,0,7686848,8511920,1.276990945,8.7391283
AUS,CAN,2000,837568.41,848733000000,1342740000000,16123,1,7686848,9976139,4.457435148,2.719439957
AUS,CAN,2001,938178.41,865140000000,1366510000000,16123,1,7686848,9976139,4.407135362,2.52512014
AUS,CAN,2002,1019244.06,899772000000,1407650000000,16123,1,7686848,9976139,2.981574539,2.258394409
AUS,CAN,2003,1133958.74,926637000000,1433020000000,16123,1,7686848,9976139,2.732595966,2.758563214
AUS,CAN,2004,1443079.98,963712000000,1477240000000,16123,1,7686848,9976139,2.343255225,1.857258719
AUS,CAN,2005,1364331.41,994458000000,1524530000000,16123,1,7686848,9976139,2.691831683,2.213552034
AUS,CAN,2006,1265176.8,1022640000000,1564530000000,16123,1,7686848,9976139,3.555287737,2.002025395
AUS,CAN,2007,1503216.95,1061270000000,1596800000000,16123,1,7686848,9976139,2.327611289,2.138383993
AUS,CAN,2008,1294341.30,1100090000000,1612770000000,16123,1,7686848,9976139,4.35029855,2.370270674
AUS,CAN,2009,1124964.43,1121240000000,1565200000000,16123,1,7686848,9976139,1.771117166,0.299466803
AUS,CAN,2010,1151780.25,1144260000000,1613460000000,16123,1,7686848,9976139,2.918340027,1.776871541
AUS,CAN,2011,1556555.98,1172310000000,1664150000000,16123,1,7686848,9976139,3.303850156,2.912135089
AUS,CAN,2012,1725616.50,1217930000000,1693190000000,16123,1,7686848,9976139,1.762780156,1.515678231
AUS,CAN,2013,1044368.95,1250080000000,1735100000000,16123,1,7686848,9976139,2.449888641,0.938291898
AUS,CAN,2014,1106908.44,1282060000000,1784650000000,16123,1,7686848,9976139,2.487922705,1.906635907
AUS,CAN,2015,1161530.52,1312200000000,1802510000000,16123,1,7686848,9976139,1.508366722,1.125241361
AUS,CAN,2016,1315148.04,1349300000000,1828000000000,16123,1,7686848,9976139,1.276990945,1.428759547
AUS,CHN,2000,3474454.8,848733000000,2237080000000,9018.307,0,7686848,9572378,4.457435148,0.347806257
AUS,CHN,2001,3917959.22,865140000000,2423650000000,9018.307,0,7686848,9572378,4.407135362,0.719132437
AUS,CHN,2002,4557230.82,899772000000,2644950000000,9018.307,0,7686848,9572378,2.981574539,-0.7319755
AUS,CHN,2003,5922090.73,926637000000,2910380000000,9018.307,0,7686848,9572378,2.732595966,1.127601961
AUS,CHN,2004,8094988.08,963712000000,3204660000000,9018.307,0,7686848,9572378,2.343255225,3.824637624
AUS,CHN,2005,12302482.0,994458000000,3569850000000,9018.307,0,7686848,9572378,2.691831683,1.776416168
AUS,CHN,2006,15356473.0,1022640000000,4023920000000,9018.307,0,7686848,9572378,3.555287737,1.649433101
AUS,CHN,2007,19967513.8,1061270000000,4596580000000,9018.307,0,7686848,9572378,2.327611289,4.816765313
AUS,CHN,2008,27225181.9,1100090000000,5040350000000,9018.307,0,7686848,9572378,4.35029855,5.925255289
AUS,CHN,2009,33389244.4,1121240000000,5514130000000,9018.307,0,7686848,9572378,1.771117166,-0.728171334
AUS,CHN,2010,53740402.5,1144260000000,6100620000000,9018.307,0,7686848,9572378,2.918340027,3.175327981
AUS,CHN,2011,73804136.7,1172310000000,6682400000000,9018.307,0,7686848,9572378,3.303850156,5.553897059
AUS,CHN,2012,75836312.2,1217930000000,7207390000000,9018.307,0,7686848,9572378,1.762780156,2.619526165
AUS,CHN,2013,87311419.3,1250080000000,7766510000000,9018.307,0,7686848,9572378,2.449888641,2.621049027
AUS,CHN,2014,81413612.5,1282060000000,8333290000000,9018.307,0,7686848,9572378,2.487922705,1.921643416
