Country (i),Country (j),Year,X (ij) in 1000 USD,GDP (i),GDP (j),Dist (ij),Lang (ij),Area (i),Area (j),Inflation (i),Inflation (j)
AUS,BGD,2000,186596.319,,,,,,,,
AUS,BGD,2001,181173.843,,,,,,,,
AUS,BGD,2002,175363.965,,,,,,,,
AUS,BGD,2003,146266.393,,,,,,,,
AUS,BGD,2004,198077.137,,,,,,,,
AUS,BGD,2005,179349.099,,,,,,,,
AUS,BGD,2006,138666.209,,,,,,,,
AUS,BGD,2007,165242.417,,,,,,,,
AUS,BGD,2008,215368.065,,,,,,,,
AUS,BGD,2009,321319.14,,,,,,,,
AUS,BGD,2010,535489.979,,,,,,,,
AUS,BGD,2011,598029.372,,,,,,,,
AUS,BGD,2012,506985.653,,,,,,,,
AUS,BGD,2013,546530.885,,,,,,,,
AUS,BGD,2014,494882.96,,,,,,,,
AUS,BGD,2015,520293.256,,,,,,,,
AUS,BGD,2016,616109.88,,,,,,,,
AUS,BEL,2000,585323.101,,,,,,,,
AUS,BEL,2001,467858.628,,,,,,,,
AUS,BEL,2002,515864.225,,,,,,,,
AUS,BEL,2003,451818.896,,,,,,,,
AUS,BEL,2004,544434.879,,,,,,,,
AUS,BEL,2005,761227.995,,,,,,,,
AUS,BEL,2006,828494.978,,,,,,,,
AUS,BEL,2007,1233016.884,,,,,,,,
AUS,BEL,2008,1276103.696,,,,,,,,
AUS,BEL,2009,653001.866,,,,,,,,
AUS,BEL,2010,1158188.983,,,,,,,,
AUS,BEL,2011,1471193.564,,,,,,,,
AUS,BEL,2012,1724420.17,,,,,,,,
AUS,BEL,2013,1031543.916,,,,,,,,
AUS,BEL,2014,947268.475,,,,,,,,
AUS,BEL,2015,904710.372,,,,,,,,
AUS,BEL,2016,709452.472,,,,,,,,
AUS,BRA,2000,330264.553,,,,,,,,
AUS,BRA,2001,244917.851,,,,,,,,
AUS,BRA,2002,218260.562,,,,,,,,
AUS,BRA,2003,301490.188,,,,,,,,
AUS,BRA,2004,412225.821,,,,,,,,
AUS,BRA,2005,657185.257,,,,,,,,
